date,1m,3m,6m,12m
2026-01-02,1.953,2.029,2.105,2.245
2026-01-05,1.976,2.034,2.104,2.255
2026-01-06,1.938,2.026,2.104,2.261
2026-01-07,1.941,2.032,2.103,2.259
2026-01-08,1.960,2.031,2.114,2.247
2026-01-09,1.971,2.019,2.116,2.251
2026-01-12,1.989,2.020,2.130,2.249
2026-01-13,1.944,2.016,2.143,2.250
2026-01-14,1.940,2.016,2.146,2.251
2026-01-15,1.969,2.026,2.141,2.253
2026-01-16,1.985,2.033,2.143,2.248
2026-01-19,1.958,2.029,2.155,2.259
2026-01-20,1.981,2.027,2.151,2.236
2026-01-21,1.956,2.034,2.156,2.228
2026-01-22,1.967,2.030,2.149,2.216
2026-01-23,1.959,2.038,2.157,2.243
2026-01-26,1.939,2.038,2.156,2.247
2026-01-27,1.944,2.039,2.154,2.249
2026-01-28,1.954,2.026,2.149,2.246
2026-01-29,1.984,2.020,2.146,2.228
2026-01-30,1.968,2.031,2.158,2.226
2026-02-02,1.959,2.022,2.154,2.218
2026-02-03,1.956,2.029,2.161,2.225
2026-02-04,1.948,2.040,2.171,2.234
2026-02-05,1.953,2.020,2.172,2.225
2026-02-06,1.972,1.999,2.152,2.227
2026-02-09,1.969,1.982,2.132,2.222
2026-02-10,1.976,1.981,2.114,2.227
2026-02-11,1.994,1.994,2.108,2.231
2026-02-12,1.968,1.984,2.131,2.246
2026-02-13,1.951,1.999,2.147,2.248
2026-02-16,1.947,1.999,2.155,2.236
2026-02-17,1.932,2.011,2.159,2.216
2026-02-18,1.921,2.006,2.141,2.198
2026-02-19,1.930,2.024,2.137,2.198
2026-02-20,1.942,2.024,2.141,2.205
2026-02-23,1.960,2.034,2.145,2.205
2026-02-24,1.942,2.041,2.149,2.206
2026-02-25,1.928,2.011,2.139,2.208
2026-02-26,1.954,2.013,2.134,2.217
2026-02-27,1.943,2.013,2.128,2.222
2026-03-02,1.937,2.026,2.131,2.229
2026-03-03,1.925,2.035,2.120,2.232
2026-03-04,1.948,2.056,2.135,2.307
2026-03-05,1.955,2.046,2.136,2.316
2026-03-06,1.940,2.049,2.139,2.323
2026-03-09,1.941,2.078,2.178,2.367
2026-03-10,1.951,2.138,2.295,2.552
2026-03-11,1.940,2.122,2.173,2.369
2026-03-12,1.940,2.150,2.225,2.456
2026-03-13,1.948,2.157,2.289,2.522
2026-03-16,1.958,2.157,2.312,2.540
2026-03-17,1.942,2.148,2.333,2.547
2026-03-18,1.940,2.121,2.309,2.528
2026-03-19,1.920,2.108,2.317,2.524
2026-03-20,1.919,2.111,2.406,2.658
2026-03-23,1.940,2.129,2.468,2.740
2026-03-24,1.960,2.178,2.589,2.929
2026-03-25,1.947,2.135,2.518,2.812
2026-03-26,1.907,2.135,2.502,2.820
2026-03-27,1.892,2.127,2.504,2.860
2026-03-30,1.878,2.122,2.529,2.932
2026-03-31,1.893,2.079,2.475,2.870
2026-04-01,1.902,2.075,2.488,2.845
2026-04-02,1.909,2.103,2.458,2.799
2026-04-07,1.918,2.170,2.512,2.872
2026-04-08,1.935,2.162,2.525,2.860
2026-04-09,1.962,2.150,2.429,2.680
2026-04-10,1.998,2.198,2.453,2.715
2026-04-13,2.003,2.204,2.437,2.708
2026-04-14,1.992,2.243,2.475,2.767
2026-04-15,1.998,2.240,2.468,2.756
2026-04-16,2.004,2.238,2.453,2.723
2026-04-17,1.996,2.204,2.415,2.685
2026-04-20,1.995,2.194,2.416,2.702
2026-04-21,1.982,2.168,2.381,2.655
2026-04-22,1.936,2.161,2.385,2.640
2026-04-23,1.968,2.165,2.427,2.687
2026-04-24,1.968,2.163,2.459,2.735
2026-04-27,2.000,2.170,2.465,2.763
2026-04-28,2.010,2.150,2.443,2.731
2026-04-29,1.968,2.149,2.462,2.765
2026-04-30,1.980,2.199,2.524,2.848
2026-05-04,1.939,2.200,2.558,2.883
2026-05-05,1.958,2.218,2.523,2.837
2026-05-06,1.974,2.240,2.556,2.867
2026-05-07,1.974,2.248,2.522,2.795
2026-05-08,1.967,2.234,2.472,2.708
2026-05-11,1.947,2.254,2.492,2.778
2026-05-12,1.972,2.252,2.485,2.798
2026-05-13,1.988,2.283,2.548,2.860
2026-05-14,1.957,2.239,2.548,2.821
2026-05-15,1.949,2.232,2.562,2.815
2026-05-18,1.968,2.219,2.594,2.830
2026-05-19,1.976,2.201,2.619,2.619
2026-05-20,1.968,2.181,2.603,2.603
2026-05-21,1.950,2.195,2.596,2.596
